epoch,acc,loss,val_acc,val_loss
0,0.8748958324392636,0.436011844035238,0.9687500049670538,0.10605919139149288
1,0.9635416659216086,0.11818246205026904,0.977833342552185,0.07553644901296745
2,0.9748125093678633,0.08144981600344181,0.9825833439826965,0.05722245791694149
3,0.9795625107983749,0.06609882498548056,0.9852500090996424,0.05081481305824127
4,0.982916679730018,0.05495050953468308,0.9866666773955027,0.04388807072051956
5,0.9856458465258281,0.046045495472693196,0.9856666763623555,0.043991425245379405
6,0.9874166779220104,0.04041030410250338,0.9885833422342937,0.03780517541454174
7,0.9871458448469639,0.0377989949270462,0.9886666744947433,0.037062699998205065
8,0.9888333432376385,0.034390935521999684,0.9878333419561386,0.03954258288334434
9,0.9904791757464408,0.03040135774256972,0.9901666740576426,0.03445709475806022
